poly cost,gaus cost,sigm cost
0.693147,0.693147,0.693147
0.677037,0.669638,0.662552
0.661667,0.647423,0.634206
0.647001,0.626427,0.607933
0.633001,0.606577,0.583566
0.619633,0.587804,0.560947
0.606862,0.570041,0.53993
0.594654,0.553225,0.520379
0.582978,0.537296,0.50217
0.571805,0.522199,0.485189
0.561106,0.50788,0.469331
0.550853,0.49429,0.454503
0.541022,0.481383,0.440617
0.531589,0.469115,0.427595
0.522531,0.457446,0.415368
0.513829,0.44634,0.40387
0.505461,0.435759,0.393043
0.49741,0.425674,0.382834
0.489658,0.416052,0.373196
0.48219,0.406866,0.364084
0.474991,0.39809,0.35546
0.468046,0.389699,0.347288
0.461343,0.381671,0.339533
0.454868,0.373985,0.332168
0.448611,0.36662,0.325164
0.442561,0.35956,0.318496
0.436707,0.352786,0.312142
0.431041,0.346282,0.306081
0.425552,0.340035,0.300293
0.420234,0.33403,0.294762
0.415077,0.328253,0.28947
0.410075,0.322694,0.284403
0.40522,0.317341,0.279548
0.400507,0.312182,0.274891
0.395928,0.307209,0.270421
0.391478,0.302411,0.266127
0.387152,0.297781,0.261998
0.382944,0.29331,0.258027
0.378849,0.28899,0.254204
0.374863,0.284814,0.25052
0.370981,0.280775,0.246969
0.3672,0.276868,0.243544
0.363514,0.273085,0.240237
0.359921,0.269421,0.237044
0.356418,0.265871,0.233957
0.352999,0.26243,0.230973
0.349663,0.259092,0.228086
0.346406,0.255855,0.225291
0.343226,0.252712,0.222584
0.340119,0.249661,0.219961
0.337084,0.246698,0.217418
0.334117,0.243818,0.214952
0.331216,0.241018,0.212558
0.328378,0.238296,0.210235
0.325603,0.235648,0.207978
0.322887,0.233071,0.205785
0.320229,0.230562,0.203653
0.317627,0.228119,0.20158
0.315078,0.22574,0.199564
0.312582,0.223421,0.197601
0.310136,0.221161,0.19569
0.30774,0.218957,0.193829
0.30539,0.216808,0.192016
0.303087,0.214711,0.190249
0.300828,0.212665,0.188526
0.298613,0.210668,0.186845
0.29644,0.208717,0.185206
0.294307,0.206813,0.183606
0.292214,0.204952,0.182044
0.290159,0.203133,0.180519
0.288142,0.201356,0.17903
0.28616,0.199618,0.177574
0.284215,0.197919,0.176152
0.282303,0.196256,0.174761
0.280425,0.19463,0.173401
0.278579,0.193038,0.172071
0.276764,0.19148,0.17077
0.274981,0.189955,0.169497
0.273227,0.188461,0.16825
0.271502,0.186998,0.16703
0.269806,0.185565,0.165835
0.268137,0.18416,0.164664
0.266496,0.182784,0.163517
0.26488,0.181435,0.162393
0.26329,0.180112,0.161291
0.261725,0.178814,0.160211
0.260185,0.177542,0.159152
0.258668,0.176293,0.158113
0.257174,0.175068,0.157094
0.255703,0.173866,0.156095
0.254254,0.172686,0.155113
0.252827,0.171528,0.15415
0.251421,0.170391,0.153205
0.250035,0.169274,0.152277
0.24867,0.168177,0.151365
0.247324,0.167099,0.150469
0.245997,0.166041,0.14959
0.244689,0.165,0.148725
0.243399,0.163978,0.147876
0.242128,0.162972,0.147041
0.240874,0.161984,0.14622
0.239637,0.161013,0.145413
0.238417,0.160057,0.144619
0.237213,0.159118,0.143839
0.236026,0.158193,0.143071
0.234854,0.157284,0.142316
0.233698,0.156389,0.141573
0.232557,0.155509,0.140841
0.231431,0.154642,0.140121
0.230319,0.153789,0.139413
0.229221,0.152949,0.138716
0.228138,0.152123,0.138029
0.227068,0.151309,0.137353
0.226011,0.150507,0.136687
0.224967,0.149717,0.136031
0.223937,0.14894,0.135384
0.222919,0.148173,0.134748
0.221913,0.147419,0.13412
0.22092,0.146675,0.133502
0.219938,0.145942,0.132893
0.218968,0.145219,0.132293
0.21801,0.144507,0.131701
0.217063,0.143805,0.131117
0.216126,0.143113,0.130542
0.215201,0.142431,0.129974
0.214287,0.141758,0.129414
0.213382,0.141094,0.128863
0.212488,0.140439,0.128318
0.211604,0.139794,0.127781
0.210731,0.139157,0.127251
0.209866,0.138529,0.126728
0.209012,0.137909,0.126212
0.208166,0.137297,0.125703
0.20733,0.136693,0.1252
0.206503,0.136097,0.124704
0.205685,0.135509,0.124215
0.204876,0.134929,0.123731
0.204075,0.134356,0.123254
0.203283,0.13379,0.122783
0.202499,0.133231,0.122317
0.201723,0.13268,0.121857
0.200956,0.132135,0.121403
0.200196,0.131597,0.120955
0.199444,0.131066,0.120512
0.1987,0.130541,0.120074
0.197963,0.130023,0.119642
0.197234,0.12951,0.119215
0.196512,0.129004,0.118792
0.195797,0.128504,0.118375
0.195089,0.12801,0.117963
0.194389,0.127522,0.117555
0.193695,0.12704,0.117152
0.193008,0.126563,0.116754
0.192327,0.126091,0.11636
0.191653,0.125626,0.115971
0.190986,0.125165,0.115586
0.190325,0.12471,0.115206
0.18967,0.124259,0.11483
0.189021,0.123814,0.114457
0.188378,0.123374,0.114089
0.187742,0.122939,0.113725
0.187111,0.122508,0.113365
0.186486,0.122083,0.113009
0.185867,0.121661,0.112657
0.185253,0.121245,0.112308
0.184645,0.120833,0.111963
0.184043,0.120425,0.111622
0.183446,0.120022,0.111284
0.182854,0.119623,0.11095
0.182267,0.119228,0.110619
0.181686,0.118838,0.110292
0.18111,0.118451,0.109968
0.180539,0.118069,0.109647
0.179972,0.11769,0.10933
0.179411,0.117316,0.109016
0.178854,0.116945,0.108705
0.178303,0.116578,0.108397
0.177756,0.116214,0.108092
0.177213,0.115855,0.10779
0.176675,0.115499,0.107491
0.176142,0.115146,0.107195
0.175613,0.114797,0.106902
0.175089,0.114451,0.106612
0.174569,0.114109,0.106324
0.174053,0.11377,0.10604
0.173541,0.113435,0.105758
0.173034,0.113102,0.105478
0.17253,0.112773,0.105202
0.172031,0.112447,0.104927
0.171536,0.112124,0.104656
0.171045,0.111804,0.104387
0.170557,0.111488,0.10412
0.170074,0.111174,0.103856
0.169594,0.110863,0.103594
0.169118,0.110555,0.103335
0.168646,0.110249,0.103078
0.168177,0.109947,0.102823
0.167713,0.109647,0.102571
0.167251,0.10935,0.102321
0.166794,0.109056,0.102073
0.166339,0.108765,0.101827
0.165888,0.108476,0.101583
0.165441,0.108189,0.101342
0.164997,0.107906,0.101103
0.164556,0.107624,0.100865
0.164119,0.107345,0.10063
0.163685,0.107069,0.100397
0.163254,0.106795,0.100166
0.162826,0.106523,0.0999363
0.162402,0.106254,0.0997089
0.16198,0.105987,0.0994835
0.161562,0.105723,0.09926
0.161146,0.10546,0.0990383
0.160734,0.1052,0.0988185
0.160324,0.104942,0.0986004
0.159918,0.104686,0.0983842
0.159514,0.104433,0.0981698
0.159114,0.104181,0.0979571
0.158716,0.103932,0.0977461
0.158321,0.103684,0.0975368
0.157928,0.103439,0.0973292
0.157539,0.103196,0.0971233
0.157152,0.102954,0.0969191
0.156768,0.102715,0.0967164
0.156386,0.102478,0.0965154
0.156007,0.102242,0.0963159
0.155631,0.102009,0.096118
0.155257,0.101777,0.0959216
0.154886,0.101547,0.0957268
0.154517,0.101319,0.0955335
0.154151,0.101093,0.0953417
0.153787,0.100868,0.0951513
0.153426,0.100645,0.0949624
0.153067,0.100424,0.0947749
0.152711,0.100205,0.0945889
0.152357,0.0999874,0.0944043
0.152005,0.0997714,0.094221
0.151655,0.0995572,0.0940392
0.151308,0.0993446,0.0938586
0.150963,0.0991335,0.0936795
0.15062,0.0989241,0.0935016
0.15028,0.0987163,0.0933251
0.149941,0.09851,0.0931498
0.149605,0.0983053,0.0929759
0.149271,0.0981021,0.0928032
0.148939,0.0979005,0.0926317
0.148609,0.0977003,0.0924615
0.148282,0.0975016,0.0922926
0.147956,0.0973043,0.0921248
0.147632,0.0971085,0.0919582
0.147311,0.0969141,0.0917929
0.146991,0.0967211,0.0916287
0.146673,0.0965296,0.0914656
0.146358,0.0963394,0.0913037
0.146044,0.0961506,0.0911429
0.145732,0.0959631,0.0909833
0.145422,0.0957769,0.0908248
0.145114,0.0955921,0.0906673
0.144808,0.0954086,0.090511
0.144504,0.0952264,0.0903557
0.144201,0.0950454,0.0902015
0.143901,0.0948658,0.0900483
0.143602,0.0946873,0.0898962
0.143305,0.0945102,0.0897451
0.14301,0.0943342,0.0895951
0.142716,0.0941595,0.089446
0.142424,0.0939859,0.089298
0.142134,0.0938136,0.0891509
0.141846,0.0936424,0.0890048
0.141559,0.0934724,0.0888597
0.141274,0.0933035,0.0887155
0.140991,0.0931358,0.0885723
0.140709,0.0929692,0.08843
0.140429,0.0928037,0.0882887
0.14015,0.0926393,0.0881483
0.139873,0.092476,0.0880087
0.139598,0.0923138,0.0878701
0.139324,0.0921527,0.0877324
0.139052,0.0919926,0.0875956
0.138781,0.0918336,0.0874596
0.138512,0.0916756,0.0873245
0.138244,0.0915186,0.0871903
0.137978,0.0913627,0.0870569
0.137713,0.0912077,0.0869244
0.13745,0.0910538,0.0867927
0.137188,0.0909009,0.0866618
0.136928,0.0907489,0.0865317
0.136669,0.0905979,0.0864025
0.136412,0.0904479,0.086274
0.136156,0.0902988,0.0861464
0.135901,0.0901507,0.0860195
0.135648,0.0900035,0.0858934
0.135396,0.0898572,0.0857681
0.135145,0.0897118,0.0856435
0.134896,0.0895674,0.0855197
0.134648,0.0894238,0.0853967
0.134401,0.0892811,0.0852744
0.134156,0.0891393,0.0851528
0.133912,0.0889984,0.085032
0.13367,0.0888584,0.0849119
0.133428,0.0887192,0.0847925
0.133188,0.0885808,0.0846738
0.132949,0.0884433,0.0845558
0.132712,0.0883066,0.0844385
0.132475,0.0881708,0.0843219
0.13224,0.0880358,0.084206
0.132006,0.0879015,0.0840908
0.131774,0.0877681,0.0839763
0.131542,0.0876355,0.0838624
0.131312,0.0875037,0.0837491
0.131083,0.0873726,0.0836366
0.130855,0.0872423,0.0835246
0.130628,0.0871128,0.0834133
0.130402,0.086984,0.0833027
0.130178,0.086856,0.0831927
0.129954,0.0867288,0.0830833
0.129732,0.0866023,0.0829745
0.129511,0.0864765,0.0828664
0.129291,0.0863514,0.0827588
0.129072,0.0862271,0.0826519
0.128854,0.0861035,0.0825456
0.128637,0.0859806,0.0824398
0.128422,0.0858584,0.0823347
0.128207,0.0857368,0.0822301
0.127993,0.085616,0.0821261
0.127781,0.0854959,0.0820227
0.127569,0.0853764,0.0819198
0.127359,0.0852576,0.0818176
0.127149,0.0851395,0.0817158
0.126941,0.085022,0.0816147
0.126734,0.0849052,0.081514
0.126527,0.084789,0.081414
0.126322,0.0846735,0.0813144
